threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5393,0.0,0.3645466345262377,0.2885221583534211,3.2201580262419265
1.0,12,5379,0.0007436326454731362,0.3638222717977319,0.28741401747536716,3.216164624857464
1.5,12,5373,0.0011166945840312675,0.3625535082821515,0.28754885538805136,3.217044522812317
2.0,12,5373,0.0011166945840312675,0.3625535082821515,0.28754885538805136,3.217044522812317
2.25,12,5823,0.14631633178773829,0.33968744633350506,0.26464021981796326,2.7961673871015904
2.5,12,10604,0.507167106752169,0.3663711806865334,0.2868728781591852,1.7822079858129345
2.75,12,11305,0.6130915524104379,0.34993365767359574,0.2973020787262273,1.5592028111461638
3.0,12,12000,0.6756666666666666,0.2765,0.21075,1.4258726052825406
3.5,12,12000,0.8135833333333333,0.2679166666666667,0.2115,2.197781556270472
4.0,12,12000,1.0,0.15183333333333332,0.12008333333333333,3.2243748925328255
