threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5217,0.0,0.38202031819053095,0.3103316082039486,3.204892660055707
1.0,12,5199,0.0007693787266782073,0.3814195037507213,0.3094825928063089,3.201371555838564
1.5,12,5193,0.0011554015020219526,0.3801270941652224,0.3096476025418833,3.202264860921813
2.0,12,5193,0.0011554015020219526,0.3801270941652224,0.3096476025418833,3.202264860921813
2.25,12,5643,0.15098351940457203,0.35513024986709196,0.28424596845649475,2.769141218640609
2.5,12,10604,0.5308374198415692,0.3544888721237269,0.27565069784986795,1.6968953279733145
2.75,12,11305,0.6145953118089341,0.3455108359133127,0.2846528084918178,1.6007189679800586
3.0,12,12000,0.6956666666666667,0.26508333333333334,0.19841666666666666,1.3817857932763158
3.5,12,12000,0.8195833333333333,0.26908333333333334,0.2125,2.0803212135156035
4.0,12,12000,1.0,0.15241666666666667,0.12041666666666667,3.2201437800725303
