threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5393,0.0,0.3645466345262377,0.2885221583534211,3.2201580262419265
1.0,12,5222,0.005744925315970892,0.36212179241669856,0.29279969360398317,3.210887850755471
1.5,12,5222,0.005744925315970892,0.36212179241669856,0.29279969360398317,3.210887850755471
2.0,12,5222,0.005744925315970892,0.36212179241669856,0.29279969360398317,3.210887850755471
2.25,12,4391,0.020268731496242313,0.3179230243680255,0.2320655887041676,3.2070257437791763
2.5,12,1944,0.16666666666666666,0.23045267489711935,0.05246913580246913,2.907449465104648
2.75,12,1578,0.22686945500633712,0.22306717363751585,0.039923954372623575,2.73402947048392
3.0,12,1552,0.23067010309278352,0.211340206185567,0.027706185567010308,2.731722522533054
3.5,12,1041,0.37752161383285304,0.22670509125840538,0.004803073967339097,2.254655858443972
4.0,12,398,1.0,0.3542713567839196,0.0,0.24478864962145716
