threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5397,0.0,0.3440800444691495,0.2592180841208079,3.2402738294846105
1.0,12,5222,0.005744925315970892,0.341248563768671,0.26273458445040215,3.2323992879991486
1.5,12,5222,0.005744925315970892,0.341248563768671,0.26273458445040215,3.2323992879991486
2.0,12,5222,0.005744925315970892,0.341248563768671,0.26273458445040215,3.2323992879991486
2.25,12,4391,0.020268731496242313,0.2930995217490321,0.19631063539057161,3.2326082364429154
2.5,12,2043,0.1561429270680372,0.21634850709740577,0.049437102300538424,2.9447351595506426
2.75,12,1507,0.23755806237558064,0.22096881220968811,0.035169210351692105,2.699304629969633
3.0,12,1492,0.23927613941018766,0.2131367292225201,0.028820375335120642,2.70002471888632
3.5,12,1014,0.39546351084812625,0.21992110453648916,0.004930966469428008,2.1940803033380334
4.0,12,397,1.0,0.35516372795969775,0.0,0.2596860579821125
