threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
10.0,10,3000,1.0,0.0,3.0157926381546076
25.0,10,3000,1.0,0.0,3.010606473687629
50.0,10,3000,1.0,0.0,3.0136395137372625
75.0,10,3000,1.0,0.0,2.9798665159065414
90.0,10,3000,1.0,0.0,2.972798970204988
