threshold_m,violation_rate,n_steps
0.2,0.13996666666666666,30000
0.3,0.18883333333333333,30000
0.4,0.2438,30000
0.5,0.30273333333333335,30000
0.6,0.37726666666666664,30000
0.75,0.48413333333333336,30000
1.0,0.6438666666666667,30000
