threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
10.0,10,3000,1.0,0.0,3.231027910967126
25.0,10,3000,1.0,0.0,3.2220735586871316
50.0,10,3000,1.0,0.0,3.2312613274064983
75.0,10,3000,1.0,0.0,3.204420854748001
90.0,10,3000,1.0,0.0,3.192271360953842
