threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
0.5,10,3000,0.0,0.956,3.3622316126028697
1.0,10,3000,0.0,0.9566666666666667,3.3706306645870208
1.5,10,3000,0.0,0.957,3.387847205877304
2.0,10,3000,0.0,0.952,3.409838241656621
2.5,10,3000,0.029,0.9656666666666667,3.3510363414287565
3.0,10,3000,0.22,0.9233333333333333,3.2811386347764526
4.0,10,3000,0.9856666666666667,0.032,2.9104767399953366
5.0,10,3000,0.9976666666666667,0.004333333333333333,2.907711368417813
