threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
10.0,10,3000,1.0,0.0,2.9082915552578257
25.0,10,3000,1.0,0.0,2.905103900421457
50.0,10,3000,1.0,0.0,2.9085538562249456
75.0,10,3000,1.0,0.0,2.8750708086829935
90.0,10,3000,1.0,0.0,2.876459092314165
