threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
1.46,10,2500,0.2688,0.8812,2.1400358025337125
1.96,10,2500,0.3652,0.8316,2.0520904945391836
2.46,10,2500,0.6788,0.486,1.40245812845768
2.96,10,2500,0.8996,0.1472,1.067831916351684
3.46,10,2500,0.9852,0.0032,0.9432600052874068
3.96,10,2500,0.9964,0.0,0.9103414136115291
4.46,10,2500,0.998,0.0,0.9458351848645152
