threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
0.5,10,3000,0.0,0.9553333333333334,3.433837753534317
1.0,10,3000,0.0,0.948,3.439258588552475
1.5,10,3000,0.0,0.951,3.470605975945791
2.0,10,3000,0.0,0.9436666666666667,3.4479350005785623
2.5,10,3000,0.006333333333333333,0.9606666666666667,3.4756705907185874
3.0,10,3000,0.09533333333333334,0.9323333333333333,3.4201284602133906
4.0,10,3000,0.996,0.030666666666666665,3.2131806781592718
5.0,10,3000,1.0,0.0,3.228608107967904
