threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
0.5,10,3000,0.0,0.951,3.40794153881073
1.0,10,3000,0.0,0.9526666666666667,3.4362022960186005
1.5,10,3000,0.0,0.9546666666666667,3.4422711696227393
2.0,10,3000,0.0,0.9486666666666667,3.450584659099579
2.5,10,3000,0.023333333333333334,0.9626666666666667,3.3901142155329387
3.0,10,3000,0.164,0.9516666666666667,3.3600163727620456
4.0,10,3000,0.9773333333333334,0.076,3.0374819745961217
5.0,10,3000,0.99,0.023666666666666666,3.0605786321010764
