threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,mean_q_value
1.46,10,2500,0.2668,0.8656,2.1613443572088764
1.96,10,2500,0.4784,0.7588,1.6903141611589345
2.46,10,2500,0.6276,0.6084,1.4751804864454148
2.96,10,2500,0.88,0.1688,1.1079811990805677
3.46,10,2500,0.9804,0.0068,0.9167076254677
3.96,10,2500,0.9948,0.0024,0.8796242125522822
4.46,10,2500,0.998,0.0,0.9252677746476026
