threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5090,0.0,0.24479371316306484,0.17897838899803536,3.3571928170639547
1.0,12,5089,0.07427785419532325,0.31754765179799566,0.249950874435056,3.082359670022087
1.5,12,5089,0.12143839654156023,0.2717626252701906,0.20672037728433876,2.9619234202355527
2.0,12,5089,0.12143839654156023,0.2717626252701906,0.20672037728433876,2.961925679613504
2.25,12,5091,0.04537418974661167,0.3431545865252406,0.2773521901394618,3.1450394410486084
2.5,12,8552,0.5163704396632367,0.3857577174929841,0.3402712815715622,1.6759882037193568
2.75,12,11604,0.6563254050327473,0.1958807307824888,0.1419338159255429,1.483789073599122
3.0,12,11605,0.7258078414476519,0.1919000430848772,0.13218440327445066,1.3228353405624673
3.5,12,12000,0.7995833333333333,0.20316666666666666,0.14966666666666667,1.5811208739760438
4.0,12,12000,1.0,0.15183333333333332,0.12008333333333333,3.2256098111867906
