threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,4398,0.0,0.2794452023647112,0.19645293315143247,3.3398258028727272
1.0,12,4397,0.085967705253582,0.3638844666818285,0.27859904480327496,3.021784433645922
1.5,12,4397,0.14055037525585626,0.31089379122128724,0.22856493063452354,2.882384606218674
2.0,12,4397,0.14055037525585626,0.31089379122128724,0.22856493063452354,2.882384606218674
2.25,12,4399,0.05251193453057513,0.3934985223914526,0.3102977949533985,3.0943521115120705
2.5,12,9241,0.5109836597770804,0.28871334271182775,0.24120766150849476,1.7013333260610999
2.75,12,11604,0.6305584281282316,0.1947604274388142,0.14124439848328163,1.5888049831689388
3.0,12,11605,0.6936665230504093,0.1908660060318828,0.13149504523912106,1.4682040641617236
3.5,12,12000,0.7839166666666667,0.2035,0.14841666666666667,1.6250547174055783
4.0,12,12000,1.0,0.15316666666666667,0.121,3.171991738120715
