threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5099,0.0,0.2508334967640714,0.19121396352225928,3.3399014467555044
1.0,12,5096,0.07417582417582418,0.3237833594976452,0.2619701726844584,3.065892304785365
1.5,12,5096,0.12127158555729985,0.2780612244897959,0.21879905808477237,2.9456237456822882
2.0,12,5096,0.12127158555729985,0.2780612244897959,0.21879905808477237,2.9456228957780675
2.25,12,5098,0.045311887014515495,0.34935268732836405,0.2893291486857591,3.1285030272646193
2.5,12,9243,0.5399761982040463,0.3638429081467056,0.3244617548415017,1.5854067971926615
2.75,12,10899,0.6636388659510046,0.19102669969721991,0.13588402605743646,1.5104337763684144
3.0,12,11605,0.7157259801809565,0.17725118483412322,0.11813873330461008,1.4013025157099275
3.5,12,12000,0.80325,0.20266666666666666,0.14933333333333335,1.6166986806645527
4.0,12,12000,1.0,0.15241666666666667,0.12041666666666667,3.1655364872813223
