frame,filter_intervention_rate,success_rate,ep_proximity_violation_rate
2940,0.4924225589973779,0.36666666666666664,0.2278494438765209
5169,0.5126539319305731,0.4666666666666667,0.2816145267618358
7711,0.6074565761755236,0.23333333333333334,0.2175606447288752
10278,0.5290674990245806,0.4666666666666667,0.22957425010134053
12780,0.5345058799257273,0.5333333333333333,0.25751441177846807
15942,0.453531207241343,0.5333333333333333,0.22389301455388233
17805,0.39289514126965364,0.6333333333333333,0.25315267270426606
20285,0.4883823746131552,0.4666666666666667,0.269656624305931
22521,0.44881621529552035,0.6,0.22004461907077819
25058,0.4914318246512952,0.6,0.24557054619129753
28234,0.528033663141135,0.6,0.24812038839304434
30546,0.41410670978173,0.7333333333333333,0.2561657309908315
32706,0.5055433687081283,0.6333333333333333,0.23511140102269296
35257,0.45983125458547325,0.6666666666666666,0.2090187556756846
38185,0.5745204131824889,0.5666666666666667,0.2436451298996648
