threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.7696,0.0126,3.4664081523784467
1.0,20,5000,0.0076,0.7592,0.0118,3.463792118892001
1.5,20,5000,0.0102,0.758,0.0118,3.459277619823018
2.0,20,5000,0.0586,0.7084,0.0118,3.341670153467334
2.25,20,5000,0.0598,0.708,0.0096,3.3397259114878484
2.5,20,5000,0.1106,0.6742,0.0074,3.200219869374279
2.75,20,5000,0.2108,0.6072,0.0072,2.9297956906013725
3.0,20,5000,0.1892,0.6304,0.0072,3.096213448315692
3.5,20,5000,0.6984,0.157,0.0,2.6174449601113836
4.0,20,5000,0.995,0.0144,0.0,2.7743191762328787
