threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.7554,0.01,3.4701014153225085
1.0,20,5000,0.0076,0.7478,0.0096,3.466826127304156
1.5,20,5000,0.0102,0.7464,0.0096,3.4625962164587794
2.0,20,5000,0.0586,0.6968,0.0096,3.344988750103094
2.25,20,5000,0.0594,0.6964,0.0074,3.3438856123926373
2.5,20,5000,0.0616,0.6962,0.0074,3.3416247172521683
2.75,20,5000,0.162,0.6266,0.0072,3.068851138781056
3.0,20,5000,0.14,0.6514,0.0072,3.23915212962768
3.5,20,5000,0.6552,0.173,0.0,2.746476509858344
4.0,20,5000,0.9948,0.0,0.0,2.9023962857470558
