threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.762,0.01,3.4706241621670118
1.0,20,5000,0.0076,0.7506,0.0096,3.465533603645236
1.5,20,5000,0.0102,0.7494,0.0096,3.4619169618532726
2.0,20,5000,0.0588,0.6988,0.0096,3.3441909326367996
2.25,20,5000,0.0606,0.6984,0.0074,3.341066601586099
2.5,20,5000,0.0644,0.6974,0.0074,3.3366039836360173
2.75,20,5000,0.1658,0.6268,0.0072,3.0651886468680756
3.0,20,5000,0.1464,0.6488,0.0072,3.232957796626424
3.5,20,5000,0.6768,0.1516,0.0,2.7389206086799756
4.0,20,5000,0.9948,0.0,0.0,2.850262652963192
