threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.9874,0.0396,3.3890792144964825
1.0,20,5000,0.0484,0.9714,0.0362,3.2773830410000184
1.5,20,5000,0.0622,0.9654,0.0386,3.2545252042917774
2.0,20,5000,0.1052,0.9676,0.0382,3.1518250833463273
2.25,20,5000,0.2064,0.893,0.0244,2.8734061625542004
2.5,20,5000,0.3252,0.8516,0.0146,2.598493975844059
2.75,20,5000,0.4116,0.7326,0.0138,2.2916368030973167
3.0,20,5000,0.7908,0.3182,0.0076,1.497601273764288
4.0,20,5000,0.9822,0.0184,0.0,1.9577876952443773
5.0,20,5000,0.9998,0.0006,0.0,2.262231701871306
