threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
1.0,20,5000,0.0986,0.9178,0.059,3.0121937707029947
2.0,20,5000,0.3048,0.7478,0.0534,2.4340071266170105
3.0,20,5000,0.832,0.2958,0.0434,1.1538429813800184
4.0,20,5000,0.9524,0.0302,0.0136,1.4283040529325337
5.0,20,5000,0.9702,0.013,0.0056,2.060734832105022
6.0,20,5000,0.9842,0.0034,0.0,2.545252235611108
8.0,20,5000,0.999,0.0,0.0,3.1583490504261107
