threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
1.0,20,5000,0.1216,0.889,0.0448,2.9380761149536543
2.0,20,5000,0.26,0.7966,0.0534,2.5562709946557756
3.0,20,5000,0.7972,0.344,0.0434,1.2222575213684352
4.0,20,5000,0.9554,0.029,0.0136,1.4687111991493895
5.0,20,5000,0.9698,0.013,0.0056,2.0382406737237986
6.0,20,5000,0.984,0.0034,0.0,2.5340569606262715
8.0,20,5000,0.999,0.0,0.0,3.185095574533567
