threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.9898,0.0364,3.427476320400269
1.0,20,5000,0.0046,0.9864,0.037,3.430080668494668
1.5,20,5000,0.0648,0.9606,0.0356,3.2651981961061614
2.0,20,5000,0.1198,0.9672,0.0382,3.107029095885182
2.25,20,5000,0.233,0.8794,0.0214,2.8011504117125767
2.5,20,5000,0.3488,0.8418,0.0146,2.522032955081253
2.75,20,5000,0.4598,0.706,0.0122,2.135915366001831
3.0,20,5000,0.7726,0.3562,0.0076,1.5344786360047298
4.0,20,5000,0.9798,0.02,0.0,1.95053977609035
5.0,20,5000,0.9996,0.0006,0.0,2.2805544026102127
