threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.6668,0.0276,0.6126508587826235
1.0,20,5000,0.518,0.1202,0.0,1.3722936867903333
1.5,20,5000,0.52,0.099,0.0,1.5902354493826811
2.0,20,5000,0.5858,0.0878,0.0,1.688261860771325
2.25,20,5000,0.6414,0.0786,0.0,1.6632430312676347
2.5,20,5000,0.696,0.066,0.0,1.653988529847552
2.75,20,5000,0.7278,0.0476,0.0,1.7652565413255856
3.0,20,5000,0.7822,0.0344,0.0,1.8254724795007728
3.5,20,5000,0.978,0.0,0.0,1.5318536470321487
4.0,20,5000,1.0,0.0,0.0,1.6823225726231932
