threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.6736,0.029,0.611063536007457
1.0,20,5000,0.512,0.1252,0.0,1.3908653599451435
1.5,20,5000,0.5166,0.1008,0.0,1.6038128595876988
2.0,20,5000,0.5798,0.0912,0.0,1.7002152115085625
2.25,20,5000,0.6436,0.081,0.0,1.665646015730095
2.5,20,5000,0.6916,0.0684,0.0,1.6619443708162516
2.75,20,5000,0.7362,0.0476,0.0,1.7368555217972208
3.0,20,5000,0.7862,0.0344,0.0,1.7926306751006857
3.5,20,5000,0.9782,0.0,0.0,1.4841301980403732
4.0,20,5000,1.0,0.0,0.0,1.6344234064206482
